Weight_kg,Horsepower,Cylinders,Fuel_Type,Road_Type,Age_years,Mileage_km_per_l
1726,167,3,Diesel,Highway,23,14.3
2059,182,6,Petrol,City,12,12
1460,86,5,Diesel,Highway,12,18.16
1894,80,4,Petrol,City,7,12
1730,148,6,Petrol,City,11,12
1695,143,3,Petrol,Highway,20,12
2324,225,5,Petrol,City,24,12
1644,55,4,Petrol,City,25,12
2238,64,3,Petrol,City,12,12
721,192,6,Petrol,Highway,4,13.44
1066,238,3,Petrol,Highway,18,12
1838,65,4,Petrol,City,10,12
930,69,5,Diesel,City,20,14.44
2082,126,5,Diesel,Highway,2,18.1
687,93,6,Diesel,Highway,1,21.32
1996,219,6,Petrol,City,14,12
1723,95,6,Petrol,City,17,12
1471,144,6,Diesel,City,4,14.71
2287,211,4,Diesel,Highway,25,12.17
730,113,6,Petrol,Highway,9,14.25
2285,206,3,Diesel,Highway,7,15.44
1932,180,4,Petrol,City,21,12
1369,58,4,Diesel,Highway,22,17.08
943,202,6,Petrol,City,17,12
2115,91,4,Petrol,Highway,3,14.26
2037,223,3,Petrol,Highway,1,12.29
1405,122,4,Petrol,City,10,12
985,133,4,Diesel,Highway,5,19.48
1815,108,3,Petrol,City,4,12
1555,70,3,Petrol,Highway,19,13.08
876,199,4,Diesel,Highway,6,17.67
1784,206,5,Diesel,Highway,6,15.88
1059,112,4,Diesel,City,9,15.59
1937,122,3,Petrol,Highway,20,12
621,110,3,Petrol,Highway,9,15.12
852,113,3,Diesel,City,15,15.03
1347,118,5,Diesel,Highway,20,15.98
1456,217,3,Diesel,Highway,8,16.22
2184,178,6,Petrol,City,24,12
1074,155,6,Diesel,Highway,2,18.74
1682,114,5,Diesel,Highway,10,17.54
1110,171,3,Petrol,City,14,12
2305,111,3,Petrol,Highway,24,12
2099,231,6,Petrol,Highway,2,12
1299,152,6,Diesel,City,24,12
1575,109,4,Petrol,Highway,22,12
2406,95,5,Petrol,Highway,13,12.18
789,54,4,Diesel,Highway,19,18.75
1557,162,5,Petrol,City,7,12
1286,199,3,Diesel,City,12,13.23
1557,230,3,Diesel,City,6,13.14
1162,119,5,Petrol,City,3,12.05
2499,209,4,Diesel,Highway,5,15.15
2190,60,6,Diesel,Highway,4,18.85
1867,187,5,Diesel,City,14,12.12
